Entity,Label
Abraham,PERSON
Jehovahjireh,PERSON
this day,DATE
22 15,DATE
Abraham,PERSON
second,ORDINAL
22 16,DATE
22 17,DATE
22 18,DATE
22 19,EVENT
Abraham,PERSON
Beersheba,GPE
Abraham,PERSON
Beersheba,GPE
22 20,DATE
Abraham,PERSON
Behold  Milcah,PERSON
Nahor,PERSON
22 21,DATE
Buz,PERSON
Kemuel,PERSON
Aram,PERSON
22 22,DATE
Chesed,ORG
Hazo,ORG
Jidlaph,PERSON
Bethuel,PERSON
22 23,DATE
Bethuel begat Rebekah,PERSON
eight,CARDINAL
Milcah,PERSON
Nahor   Abraham,PERSON
22 24,DATE
Reumah,PERSON
Tebah,GPE
Gaham,PERSON
Thahash,PERSON
23 1,DATE
Sarah,PERSON
an hundred and seven and,CARDINAL
the years,DATE
Sarah,PERSON
23 2,DATE
Sarah,PERSON
Kirjatharba,ORG
Hebron,GPE
Canaan,GPE
Abraham,PERSON
Sarah,PERSON
23 3,DATE
Abraham,PERSON
Heth,PERSON
23 4,DATE
23 5,DATE
Heth,PERSON
Abraham,PERSON
23 6,DATE
thou mayest,PERSON
23 7,DATE
Abraham,PERSON
Heth,PERSON
23 8,DATE
Ephron,PERSON
Zohar,PERSON
23 9,DATE
Machpelah,ORG
23 10,DATE
Ephron,ORG
Heth,PERSON
Ephron,ORG
Hittite,NORP
Abraham,PERSON
Heth,PERSON
23,CARDINAL
23 12,DATE
Abraham,PERSON
23 13,DATE
Ephron,PERSON
23 14,DATE
Ephron,PERSON
Abraham,PERSON
23 15,DATE
four hundred shekels,MONEY
23 16,DATE
Abraham,PERSON
Ephron,ORG
Abraham,PERSON
Ephron,ORG
Heth,GPE
four hundred shekels,MONEY
23 17,DATE
Ephron,ORG
Machpelah,GPE
Mamre,ORG
23 18,DATE
Unto Abraham,PERSON
Heth,PERSON
23 19,DATE
Abraham,PERSON
Sarah,PERSON
Machpelah,GPE
Mamre,ORG
Hebron,GPE
Canaan,GPE
23 20,DATE
Abraham,PERSON
Heth,PERSON
24 1,DATE
Abraham,PERSON
Abraham,PERSON
24 2,DATE
Abraham,PERSON
24,CARDINAL
Canaanites,NORP
24 4,DATE
Isaac,PERSON
24 5,DATE
thou camest  ,PERSON
24 6,DATE
Abraham,PERSON
24 7,TIME
24 8,DATE
24 9,DATE
Abraham,PERSON
24 10,DATE
ten,CARDINAL
Mesopotamia,GPE
Nahor,GPE
24 11,DATE
evening,TIME
24 12,DATE
Abraham,PERSON
this day,DATE
Abraham,PERSON
24 13,DATE
24 14,DATE
Isaac,PERSON
24 15,DATE
Rebekah,PERSON
Bethuel  son,PERSON
Milcah,PERSON
Nahor  Abraham,PERSON
24 16,DATE
24 17,DATE
24 18,DATE
24 19,DATE
24 20,DATE
24 21,DATE
24 22,DATE
half,CARDINAL
two,CARDINAL
ten shekels,MONEY
24 23,DATE
24 24,DATE
Bethuel,PERSON
Milcah,PERSON
Nahor,PERSON
24 25,DATE
24 26,DATE
24 27,DATE
Abraham,PERSON
24 28,DATE
24 29,DATE
Rebekah,PERSON
Laban,PERSON
Laban,PERSON
24 30,DATE
Rebekah,PERSON
24 31,DATE
24 32,DATE
24 33,DATE
24 34,DATE
Abraham,PERSON
24 35,DATE
menservants,PERSON
24 36,DATE
Sarah,PERSON
24 37,DATE
Canaanites,NORP
24 38,DATE
24 39,DATE
24 40,DATE
24 41,DATE
one,CARDINAL
24 42,DATE
this day,DATE
Abraham,PERSON
24,CARDINAL
24 44,DATE
24 45,DATE
Rebekah,PERSON
24 46,DATE
24 47,DATE
Bethuel  Nahor s,PERSON
Milcah,PERSON
24 48,DATE
Abraham,PERSON
24 49,DATE
24 50,DATE
Bethuel,PERSON
24,CARDINAL
51,CARDINAL
Behold  ,PERSON
Rebekah,PERSON
24 52,DATE
Abraham,PERSON
earth,LOC
24 53,DATE
Rebekah,PERSON
24 54,DATE
morning,TIME
24 55,DATE
a few days,DATE
the least ten,CARDINAL
24 56,DATE
24 57,DATE
24 58,DATE
Rebekah,PERSON
24 59,DATE
Rebekah,PERSON
Abraham,PERSON
24 60,DATE
Rebekah,PERSON
thousands of millions,CARDINAL
24 61,DATE
Rebekah,PERSON
Rebekah,PERSON
24 62,DATE
Isaac,PERSON
Lahairoi,ORG
24 63,DATE
Isaac,PERSON
24 64,DATE
Rebekah,PERSON
Isaac,PERSON
24 65,DATE
24 66,DATE
Isaac,PERSON
24 67,DATE
Isaac,PERSON
Sarah,PERSON
Rebekah,PERSON
Isaac,PERSON
25 1,DATE
Abraham,PERSON
Keturah,PERSON
25 2,DATE
Zimran,ORG
Jokshan,ORG
Medan,ORG
Midian,NORP
Ishbak,ORG
Shuah,PRODUCT
25 3,DATE
Jokshan,NORP
Sheba,GPE
Dedan,ORG
Dedan,ORG
Letushim,ORG
Leummim,NORP
25 4,DATE
Midian,NORP
Hanoch,GPE
Eldaah  All,ORG
Keturah,PERSON
25 5,DATE
Abraham,PERSON
Isaac,PERSON
25 6,DATE
Abraham,PERSON
Abraham,PERSON
Isaac,PERSON
25 7,DATE
the days of the years,DATE
Abraham,PERSON
an hundred threescore and,CARDINAL
25 8,DATE
Abraham,PERSON
years,DATE
25 9,DATE
Isaac,PERSON
Ishmael,PERSON
Machpelah,ORG
Ephron,ORG
Zohar,PERSON
Hittite,NORP
Mamre,ORG
25 10,CARDINAL
Abraham,PERSON
Heth,PERSON
Abraham,PERSON
Sarah,PERSON
25 11,DATE
Abraham,PERSON
Isaac  ,PERSON
Isaac,PERSON
Lahairoi,ORG
25 12,DATE
Ishmael  Abraham s,PERSON
Hagar,PERSON
Egyptian,NORP
Sarah,PERSON
Abraham  ,PERSON
25 13,DATE
Ishmael,PERSON
Ishmael  Nebajoth  ,PERSON
Kedar,ORG
Adbeel,ORG
Mibsam,PERSON
25 14,DATE
Dumah,PERSON
Massa,GPE
25,CARDINAL
Hadar,ORG
Tema  Jetur,ORG
Naphish,ORG
Kedemah,ORG
25 16,CARDINAL
Ishmael,PERSON
twelve,CARDINAL
25 17,DATE
the years,DATE
Ishmael  an hundred,PERSON
thirty and seven years,DATE
25 18,DATE
Havilah,ORG
Shur,PERSON
Egypt,GPE
Assyria,GPE
25 19,DATE
Isaac  Abraham s,PERSON
Abraham  begat,PERSON
Isaac  25 20,PERSON
Isaac,PERSON
forty years old,DATE
Rebekah,PERSON
Bethuel,PERSON
Syrian,NORP
Laban,PERSON
Syrian,NORP
25 21,DATE
Isaac,PERSON
Rebekah,PERSON
25 22,DATE
25 23,DATE
Two,CARDINAL
two,CARDINAL
one,CARDINAL
25 24,DATE
25 25,DATE
first,ORDINAL
Esau,PERSON
25 26,DATE
Jacob  and,PERSON
Isaac,PERSON
threescore  years old,DATE
25 27,DATE
Esau,PERSON
Jacob,PERSON
25 28,DATE
Isaac,PERSON
Rebekah,PERSON
Jacob,PERSON
25 29,DATE
Jacob,PERSON
Esau,PERSON
25 30,DATE
Esau,PERSON
Jacob  Feed,PERSON
Edom,ORG
25 31,DATE
Jacob,PERSON
this day,DATE
25 32,DATE
Esau,PERSON
25 33,DATE
Jacob,PERSON
this day,DATE
Jacob,PERSON
25 34,DATE
Jacob,PERSON
Esau,PERSON
26 1,DATE
first,ORDINAL
the days,DATE
Abraham,PERSON
Isaac,PERSON
Abimelech,PERSON
Philistines,NORP
26 2,DATE
Egypt,GPE
26 3,DATE
Abraham,PERSON
26 4,DATE
26 5,DATE
Abraham,PERSON
26 6,DATE
Isaac,PERSON
Gerar,ORG
26 7,DATE
Rebekah,PERSON
26 8,DATE
Abimelech,PERSON
Philistines,NORP
Isaac,PERSON
Rebekah,PERSON
26 9,DATE
Abimelech,PERSON
Isaac,PERSON
Isaac,PERSON
Lest,PERSON
26 10,EVENT
Abimelech,PERSON
26 11,DATE
Abimelech,PERSON
26 12,DATE
Isaac,PERSON
the same year,DATE
26 13,DATE
26 14,DATE
Philistines,NORP
26 15,DATE
the  days,DATE
Abraham,PERSON
Philistines,NORP
26 16,DATE
Abimelech,PERSON
Isaac  Go,PERSON
26 17,DATE
Isaac,PERSON
Gerar,ORG
26 18,DATE
Isaac,PERSON
the days,DATE
Abraham,PERSON
Philistines,NORP
Abraham,PERSON
26 19,DATE
Isaac,PERSON
26 20,DATE
Gerar,PERSON
Isaac,PERSON
Esek,GPE
26 21,DATE
Sitnah,ORG
26 22,DATE
Rehoboth,GPE
26 23,DATE
Beersheba,GPE
26 24,DATE
Abraham,PERSON
Abraham,PERSON
26 25,DATE
Isaac,PERSON
26 26,DATE
Abimelech,PERSON
Gerar,PERSON
one,CARDINAL
Phichol,ORG
26 27,DATE
Isaac,PERSON
26 28,DATE
26 29,DATE
26 30,DATE
26 31,DATE
morning,TIME
Isaac,PERSON
26 32,DATE
the same day,DATE
Isaac,PERSON
26 33,DATE
Shebah,ORG
Beersheba,GPE
this day,DATE
26 34,DATE
Esau,PERSON
forty years old,DATE
Judith the  daughter,PERSON
Beeri,PERSON
Hittite,NORP
Bashemath,ORG
Elon,PERSON
Hittite,NORP
26 35,CARDINAL
Isaac,PERSON
Rebekah,PERSON
27 1,DATE
Isaac,PERSON
Esau,PERSON
27 2,DATE
27 3 Now,DATE
27,CARDINAL
27 5,DATE
Rebekah,PERSON
Isaac spake,PERSON
Esau,PERSON
venison,PERSON
27 6,DATE
Rebekah spake,PERSON
Jacob,PERSON
27 7,DATE
27 8,DATE
27 9 Go,TIME
two,CARDINAL
27 10,DATE
27 11,DATE
Jacob,PERSON
Rebekah,PERSON
27 12,DATE
27 13,DATE
27 14,DATE
27 15,DATE
Rebekah,PERSON
Esau,PERSON
Jacob,PERSON
27 16,DATE
27 17,DATE
Jacob,PERSON
27 18,DATE
27 19,DATE
Jacob,PERSON
first,ORDINAL
thou badest  ,PERSON
27 20,DATE
Isaac,PERSON
27 21,DATE
Isaac,PERSON
Jacob  Come,PERSON
Esau,PERSON
27 22,DATE
Jacob,PERSON
Isaac,PERSON
Jacob,PERSON
27 23,DATE
Esau,PERSON
27 24,DATE
Esau,PERSON
27 25,DATE
s  venison,PERSON
27 26,DATE
Isaac,PERSON
27 27,DATE
27 28,DATE
27 29,CARDINAL
27 30,DATE
Isaac,PERSON
Jacob  and,PERSON
Jacob,PERSON
Isaac,PERSON
27 31,DATE
s venison,PERSON
27 32,DATE
Isaac,PERSON
27 33,DATE
Isaac,PERSON
venison,PERSON
thou camest,PERSON
27 34,DATE
27 35,DATE
subtilty,ORG
27 36,DATE
Jacob  ,PERSON
two,CARDINAL
27 37,DATE
Isaac,PERSON
27 38,DATE
Esau,PERSON
one,CARDINAL
Esau,PERSON
27 39,DATE
Isaac,PERSON
27 40,DATE
27 41,DATE
Jacob,PERSON
Esau,PERSON
The days,DATE
Jacob,PERSON
27 42,DATE
Rebekah,PERSON
Jacob,PERSON
Esau,PERSON
27 43,DATE
Laban,PERSON
Haran  ,PERSON
27 44,DATE
a few days,DATE
27 45,DATE
one day  27 46,DATE
Rebekah,PERSON
Isaac  I,PERSON
Heth,PERSON
Jacob,PERSON
Heth,PERSON
28 1,DATE
Isaac,PERSON
Jacob  and,PERSON
Canaan,GPE
28,CARDINAL
Padanaram,EVENT
Bethuel,PERSON
Laban,PERSON
28 3,DATE
thou mayest,PERSON
28 4,DATE
Abraham,PERSON
thou  mayest,ORG
Abraham,PERSON
28 5,DATE
Isaac,PERSON
Jacob  and,PERSON
Bethuel,PERSON
Syrian,NORP
Rebekah  Jacob s,PERSON
Esau,PERSON
28 6,DATE
Esau,PERSON
Isaac,PERSON
Jacob  and,PERSON
Padanaram,EVENT
Canaan,GPE
28 7,DATE
Jacob,PERSON
Canaan,GPE
Isaac,PERSON
28 9,DATE
Ishmael  and,PERSON
Mahalath,ORG
Ishmael Abraham s,PERSON
Nebajoth,PERSON
28 10,DATE
Jacob,PERSON
Beersheba,GPE
Haran,LANGUAGE
28 11,DATE
28 12,DATE
28 13,DATE
Abraham,PERSON
Isaac,PERSON
28 14,DATE
28 15,DATE
thou goest  and,PERSON
28 16,DATE
Jacob,PERSON
28 17,DATE
28 18,DATE
Jacob,PERSON
early in the,TIME
morning,TIME
28 19,DATE
Bethel,ORG
Luz,PRODUCT
first,ORDINAL
28 20,DATE
Jacob,PERSON
28 21,DATE
28 22,DATE
tenth,ORDINAL
29 1,DATE
Jacob,PERSON
29 2,DATE
three,CARDINAL
29 3,DATE
29 4,DATE
Jacob,PERSON
Haran,PERSON
29 5,DATE
Nahor,PERSON
29 6,DATE
Rachel,PERSON
29 7,DATE
Lo,PERSON
29 8,DATE
29 9,DATE
Rachel,PERSON
29 10,DATE
Jacob,PERSON
Rachel,PERSON
Laban,PERSON
Laban,PERSON
Jacob,PERSON
Laban,PERSON
29 11,DATE
Jacob,PERSON
Rachel  and,PERSON
29 12,DATE
Jacob,PERSON
Rachel,PERSON
Rebekah,PERSON
29 13,DATE
Laban,PERSON
Jacob,PERSON
Laban,PERSON
29 14,DATE
Laban,PERSON
29 15,DATE
Laban,PERSON
Jacob  ,PERSON
29 16,DATE
Laban,PERSON
two,CARDINAL
Leah,PERSON
Rachel,PERSON
Leah,PERSON
Rachel,PERSON
29 18,DATE
Jacob,PERSON
Rachel  and,PERSON
seven years,DATE
Rachel,PERSON
29 19,DATE
Laban,PERSON
29 20,DATE
Jacob,PERSON
seven years,DATE
Rachel  and,PERSON
a few days,DATE
29 21,DATE
Jacob,PERSON
Laban  Give,PERSON
my days,DATE
29 22,EVENT
Laban,PERSON
29 23,DATE
evening,TIME
Leah,PERSON
29 24,DATE
Laban,PERSON
Leah Zilpah,PERSON
29 25,DATE
morning,TIME
Leah,PERSON
Laban,PERSON
Rachel,PERSON
29 26,DATE
Laban,PERSON
29 27,DATE
week,DATE
seven other years,DATE
29 28,DATE
Jacob,PERSON
week,DATE
Rachel  his,PERSON
29 29,DATE
Laban,PERSON
Rachel,PERSON
Bilhah,PERSON
29 30,DATE
Rachel  ,PERSON
Rachel,PERSON
Leah,PERSON
seven other years,DATE
29 31,DATE
Leah,PERSON
Rachel,PERSON
29 32,DATE
Leah,PERSON
Reuben  ,PERSON
29 33,DATE
Simeon,PERSON
29 34,DATE
three,CARDINAL
Levi,PERSON
29 35,DATE
Judah,PERSON
30 1,DATE
Rachel,PERSON
Jacob,PERSON
Rachel  ,PERSON
Jacob  Give,PERSON
30 2,DATE
Jacob,PERSON
Rachel  ,PERSON
30 3,DATE
Bilhah,PERSON
30 4,EVENT
Jacob,PERSON
30 5,EVENT
Bilhah,PERSON
Jacob,PERSON
30 6,DATE
Rachel,PERSON
Dan,PERSON
30 7,DATE
Bilhah Rachel s,PERSON
Jacob,PERSON
second,ORDINAL
30 8,DATE
Rachel,PERSON
Naphtali,PERSON
30 9,DATE
Leah,PERSON
Zilpah,PERSON
Jacob,PERSON
30 10,DATE
Zilpah Leah,PERSON
Jacob,PERSON
30 11,DATE
Leah,PERSON
Gad,PERSON
30 12,DATE
Zilpah Leah,PERSON
Jacob,PERSON
second,ORDINAL
30 13,DATE
Leah,PERSON
Asher,PERSON
30 14,DATE
Reuben,PERSON
the days,DATE
Leah,PERSON
Rachel,PERSON
Leah  Give,PERSON
30 15,DATE
Rachel,PERSON
30 16,DATE
Jacob,PERSON
evening,TIME
Leah,PERSON
30 17,EVENT
Leah,PERSON
Jacob  ,PERSON
fifth,ORDINAL
30 18,DATE
Leah,PERSON
Issachar,PERSON
30 19,DATE
Leah,PERSON
Jacob,PERSON
sixth,ORDINAL
30 20,DATE
Leah,PERSON
six,CARDINAL
Zebulun,PERSON
30 21,DATE
Dinah,PERSON
30 22,DATE
Rachel  and,PERSON
30 23,DATE
30 24,DATE
Joseph  ,PERSON
30 25,DATE
Rachel,PERSON
Joseph  ,PERSON
Jacob  ,PERSON
Laban  Send,PERSON
30 26 Give,WORK_OF_ART
30 27,DATE
Laban,PERSON
30 28,DATE
30 29,DATE
30 30,DATE
30 31,DATE
Jacob,PERSON
30 32,DATE
day,DATE
30 33,DATE
30 34,DATE
Laban,PERSON
30 35,DATE
30 36,DATE
three days,DATE
Jacob  and,PERSON
Jacob fed,PERSON
Laban,PERSON
30 37,DATE
Jacob,PERSON
30 38,DATE
30 39,DATE
30 40,DATE
Jacob,PERSON
Laban,PERSON
Laban,PERSON
30 41,DATE
whensoever,ORG
Jacob,PERSON
30 42,DATE
Laban,PERSON
Jacob s,PERSON
30 43,DATE
menservants,PERSON
31 1,DATE
Laban,PERSON
Jacob hath,PERSON
31 2,DATE
Jacob,PERSON
Laban,PERSON
31 3,DATE
Jacob  Return,PERSON
31 4,DATE
Jacob,PERSON
Rachel,PERSON
Leah,PERSON
31 5,DATE
31 6,DATE
31 7,DATE
ten,CARDINAL
31 8,DATE
31 9,DATE
31 10,DATE
31 11,DATE
Jacob,PERSON
31 12,DATE
Laban,PERSON
31 13,TIME
31 14,DATE
Rachel,PERSON
Leah,PERSON
31 15,CARDINAL
31 16,DATE
31 17,DATE
Jacob,PERSON
31 18,DATE
Padanaram,EVENT
Isaac,PERSON
Canaan,GPE
31 19,DATE
Laban,PERSON
Rachel,PERSON
31 20,DATE
Jacob,PERSON
Laban,PERSON
Syrian,NORP
31 21,DATE
Gilead,ORG
31 22,DATE
Laban,PERSON
the third day,DATE
Jacob,PERSON
31 23,DATE
seven  days,DATE
Gilead,ORG
31 24,DATE
Syrian,NORP
night,TIME
Jacob,PERSON
31 25,DATE
Then Laban,PERSON
Jacob  Now,PERSON
Jacob,PERSON
Laban,PERSON
Gilead,ORG
31 26,DATE
Laban,PERSON
Jacob  What,PERSON
31 27,DATE
31 28,DATE
31 29,DATE
Jacob,PERSON
31 30,DATE
31 31,DATE
Jacob,PERSON
Laban,PERSON
31 32,DATE
Jacob,PERSON
Rachel,PERSON
31 33,DATE
Laban,PERSON
Jacob,PERSON
Leah,PERSON
two,CARDINAL
Leah,PERSON
Rachel,PERSON
31 34,DATE
Rachel,PERSON
Laban,PERSON
31 35,DATE
31 36,DATE
Jacob,PERSON
Jacob,PERSON
Laban,PERSON
31 37,DATE
31 38,DATE
This twenty years,DATE
31 39,DATE
day,DATE
night,TIME
the day,DATE
31 41,DATE
twenty years,DATE
fourteen years,DATE
two,CARDINAL
six years,DATE
ten,CARDINAL
31 42,DATE
Abraham,PERSON
Isaac,PERSON
31 43,DATE
Laban,PERSON
Jacob  These,PERSON
31 44,DATE
31 45,DATE
Jacob,PERSON
31 46,DATE
Jacob,PERSON
31 47,DATE
Laban,PERSON
Jegarsahadutha,PERSON
Jacob,PERSON
31 48,DATE
Laban,PERSON
this  day,DATE
31 49,DATE
Mizpah,PERSON
one,CARDINAL
31 50,DATE
31 51,DATE
Laban,PERSON
Jacob  ,PERSON
31 52,DATE
31 53,DATE
Abraham,PERSON
Nahor,PERSON
Jacob,PERSON
Isaac,PERSON
31 54,DATE
Jacob,PERSON
31 55,DATE
early in the morning,TIME
Laban,PERSON
Laban,PERSON
32 1,DATE
Jacob,PERSON
32 2,DATE
Jacob,PERSON
Mahanaim,PERSON
32 3,DATE
Jacob,PERSON
Edom,GPE
32 4,DATE
Jacob saith,PERSON
Laban,PERSON
32 5,DATE
menservants,PERSON
32 6,DATE
Jacob,PERSON
Esau,PERSON
four hundred,CARDINAL
32 7,DATE
Jacob,PERSON
two,CARDINAL
32 8,DATE
one,CARDINAL
32 9,DATE
Jacob,PERSON
Abraham,PERSON
Isaac,PERSON
32 10,DATE
Jordan,GPE
two,CARDINAL
32 11,TIME
32 12,DATE
thou saidst  I,PERSON
32 13,DATE
32,CARDINAL
Two hundred,CARDINAL
twenty,CARDINAL
two hundred,CARDINAL
twenty rams  32,QUANTITY
forty,CARDINAL
ten,CARDINAL
twenty,CARDINAL
ten,CARDINAL
32 16,DATE
32 17,DATE
32 18,DATE
Jacob s,PERSON
32 19,DATE
second,ORDINAL
third,ORDINAL
32 20,DATE
Jacob,PERSON
32 21,DATE
32 22,DATE
night,TIME
two,CARDINAL
two,CARDINAL
eleven,CARDINAL
ford,ORG
Jabbok,PERSON
32 23,DATE
32 24,DATE
Jacob,PERSON
the day,DATE
32 25,DATE
Jacob s,PERSON
32 26,DATE
the day,DATE
thou,PERSON
32 27,DATE
Jacob,ORG
32 28,DATE
Jacob,PERSON
Israel,GPE
32 29,DATE
Jacob,PERSON
32 30,DATE
Jacob,PERSON
32 31,DATE
Penuel,PERSON
32 32,DATE
Israel,GPE
Jacob s,PERSON
33 1,DATE
Jacob,PERSON
four hundred,CARDINAL
Leah,PERSON
Rachel  and,PERSON
two,CARDINAL
33 2,DATE
Leah,PERSON
Rachel,PERSON
Joseph hindermost,PERSON
33 3,DATE
seven,CARDINAL
33 4,DATE
Esau,PERSON
33 5,DATE
33 6,DATE
33 7,DATE
Leah,PERSON
Joseph,PERSON
Rachel  ,PERSON
33 8,DATE
33 9,DATE
Esau,PERSON
33 10,DATE
Jacob,PERSON
Nay,PERSON
33 11,TIME
33 12,DATE
33 13,DATE
one day,DATE
33 14,DATE
33 15,DATE
Esau,PERSON
33 16,DATE
that day,DATE
33 17,DATE
Jacob,PERSON
Succoth  and,PERSON
Succoth,PERSON
33 18,DATE
Jacob,PERSON
Shalem,GPE
Shechem,GPE
Canaan,GPE
33 19,DATE
Hamor,PERSON
Shechem,GPE
hundred,CARDINAL
33 20,DATE
EleloheIsrael,ORG
34 1 And Dinah,DATE
Leah,PERSON
Jacob  ,PERSON
34 2,DATE
Shechem,GPE
Hamor,PERSON
Hivite,ORG
34 3,DATE
Jacob,PERSON
34 4,DATE
Shechem,GPE
Hamor,PERSON
34 5,DATE
Jacob,PERSON
Jacob,PERSON
34 6,DATE
Hamor,PERSON
Shechem,GPE
Jacob,PERSON
34 7,DATE
Jacob,PERSON
Israel,GPE
Jacob s,PERSON
34 8,DATE
Hamor,PERSON
Shechem,PERSON
34 9,DATE
34 10,DATE
34 11,DATE
Shechem,PERSON
34 12,TIME
34 13,DATE
Jacob,PERSON
Shechem,GPE
Hamor,PERSON
34 14,DATE
34 15,DATE
34 16,DATE
one,CARDINAL
34 17,DATE
34 18,DATE
Hamor,PERSON
Shechem Hamor,PERSON
34 19,DATE
Jacob,PERSON
34 20,DATE
Hamor,PERSON
Shechem,GPE
34 21,CARDINAL
34 22,TIME
one,CARDINAL
34 23,DATE
34 24,DATE
Hamor,PERSON
Shechem,GPE
34 25,DATE
the third day,DATE
two,CARDINAL
Jacob  Simeon,PERSON
Levi  Dinah s,PERSON
34 26,DATE
Hamor,PERSON
Shechem,GPE
Shechem,GPE
34 27,DATE
Jacob,PERSON
34 28,DATE
34 29,DATE
34 30,DATE
Jacob,PERSON
Simeon,PERSON
Levi,PERSON
Canaanites,NORP
34 31,DATE
35 1,DATE
Jacob  Arise,PERSON
Bethel,GPE
thou  fleddest,PERSON
35 2,DATE
Jacob,PERSON
35 3,DATE
Bethel,ORG
the day,DATE
35 4,DATE
Jacob,PERSON
Jacob,PERSON
Shechem,ORG
35 5,DATE
Jacob,PERSON
35 6,DATE
Jacob,PERSON
Luz,ORG
Canaan,GPE
Bethel,ORG
35 7,DATE
35 8,DATE
Deborah Rebekah s,PERSON
Bethel,ORG
Allonbachuth,ORG
35 9,DATE
Jacob,PERSON
Padanaram,EVENT
35 10,DATE
Jacob  thy,PERSON
Jacob  ,PERSON
Israel,GPE
Israel,GPE
35 11,DATE
35 12,DATE
Abraham,PERSON
Isaac,PERSON
35 13,DATE
35 14,DATE
Jacob,PERSON
35 15,DATE
Jacob,PERSON
Bethel,ORG
35 16,DATE
Bethel,GPE
Ephrath,GPE
Rachel,PERSON
35 17,DATE
35 18,DATE
Benoni,PERSON
Benjamin,ORG
35 19,DATE
Rachel,PERSON
Ephrath,GPE
Bethlehem,ORG
35 20,DATE
Jacob,PERSON
Rachel s,PERSON
this day,DATE
35 21,DATE
Israel,GPE
Edar,ORG
35 22,DATE
Israel,GPE
Reuben  ,PERSON
Bilhah,PERSON
Israel,GPE
Jacob,PERSON
twelve,CARDINAL
Leah  Reuben   Jacob s,PERSON
Simeon,PERSON
Levi,PERSON
Judah,GPE
Issachar,ORG
Zebulun,ORG
35,CARDINAL
Rachel  Joseph,PERSON
Benjamin  ,PERSON
35 25,DATE
Bilhah,PERSON
Rachel,PERSON
Dan,PERSON
Naphtali,PERSON
35 26,DATE
Zilpah,PERSON
Leah,PERSON
Gad,PERSON
Asher,PERSON
Jacob,PERSON
Padanaram,DATE
35 27,DATE
Jacob,PERSON
Isaac,PERSON
Mamre,ORG
Arbah,ORG
Hebron,GPE
Abraham,PERSON
Isaac,PERSON
35 28,DATE
Isaac,PERSON
an hundred and fourscore years,CARDINAL
35 29,DATE
Isaac,PERSON
days,DATE
Esau,PERSON
Jacob,PERSON
36 1,DATE
Edom,GPE
36,CARDINAL
Canaan,GPE
Elon,ORG
Hittite,NORP
Aholibamah,NORP
Anah,GPE
Zibeon,NORP
Hivite,ORG
36 3,DATE
Bashemath Ishmael s,ORG
Nebajoth,PERSON
36 4,DATE
Esau Eliphaz,PERSON
Bashemath,ORG
Reuel,PERSON
36 5,DATE
Aholibamah,NORP
Jeush,PERSON
Jaalam,GPE
Korah,PERSON
Canaan,GPE
36 6,DATE
Esau,PERSON
Canaan,GPE
Jacob,PERSON
36 7,DATE
36 8,DATE
Seir  Esau,PERSON
36 9,DATE
36 10,CARDINAL
Esau,PERSON
Adah,PERSON
Esau  Reuel,PERSON
Bashemath,ORG
36 11,DATE
Eliphaz,PERSON
Teman,PERSON
Omar  Zepho,PERSON
Gatam,PERSON
Kenaz,ORG
36 12,DATE
Timna,PERSON
Eliphaz Esau s,PERSON
Eliphaz Amalek,PERSON
Adah Esau s,PERSON
36 13,DATE
Reuel  Nahath  ,ORG
Zerah  Shammah,PERSON
Mizzah,PERSON
Bashemath Esau s,ORG
36 14,DATE
Aholibamah,NORP
Anah,GPE
Zibeon  Esau s,PERSON
Esau Jeush,PERSON
Jaalam,GPE
Korah,PERSON
36 15,DATE
Eliphaz,PERSON
Teman,PERSON
Omar  duke,PERSON
Zepho  duke,PERSON
Kenaz,PERSON
36,CARDINAL
16,CARDINAL
Korah  ,PERSON
Gatam,PERSON
Amalek,PERSON
Eliphaz,PERSON
Edom,GPE
Adah,PERSON
36 17,DATE
Reuel Esau s,PERSON
Nahath  duke,PERSON
Zerah,PERSON
Shammah,PERSON
Mizzah,PERSON
Reuel,PERSON
Edom,GPE
Bashemath Esau s,ORG
36 18,DATE
Aholibamah,NORP
Jeush,PERSON
Jaalam,PERSON
Korah,PERSON
Aholibamah,NORP
Anah,GPE
36 19,DATE
Edom,GPE
36 20,DATE
Horite,NORP
Lotan,GPE
Shobal,ORG
Zibeon  ,PERSON
Anah,GPE
36 21,DATE
Dishon,PERSON
Ezer,ORG
Dishan,GPE
Horites,ORG
Edom,GPE
36 22,DATE
Lotan,GPE
Hori,PERSON
Hemam,GPE
Lotan,GPE
Timna,PERSON
36 23,DATE
Shobal,ORG
Alvan,ORG
Manahath,ORG
Ebal  Shepho,PERSON
Onam,WORK_OF_ART
36 24,DATE
Zibeon,NORP
Anah,GPE
Anah,GPE
Zibeon,PERSON
36 25,DATE
Anah,GPE
Dishon,PERSON
Aholibamah,NORP
Anah,GPE
36 26,DATE
Dishon,PERSON
Hemdan,NORP
Eshban,PERSON
Ithran,GPE
Cheran,NORP
36 27,TIME
Ezer,GPE
Zaavan  ,PERSON
Akan,ORG
36 28,CARDINAL
Dishan,GPE
Aran,ORG
36 29,CARDINAL
Horites,ORG
Lotan  duke  Shobal,PERSON
Zibeon  duke,PERSON
Anah,GPE
36 30,CARDINAL
Dishon,PERSON
Ezer  duke,PERSON
Dishan,GPE
Hori,ORG
36 31,DATE
Edom,GPE
Israel,GPE
36 32,DATE
Beor,PERSON
Edom,GPE
Dinhabah,ORG
36 33,DATE
Bela,PERSON
